x-coordinate_in_pixel, y-coordinate_in_pixel, Chan1_FluoValue, Chan2_FluoValue, Chan3_FluoValue, index
1729, 1210, 15602, 6563, 3195, 539
1799, 332, 17290, 7092, 3328, 540
2140, 415, 16812, 6790, 3252, 541
1215, 323, 17796, 7321, 3535, 542
1959, 402, 16778, 6898, 3444, 543
1835, 374, 17316, 7122, 3446, 544
1472, 417, 16941, 7150, 3514, 545
1234, 323, 17337, 7368, 3478, 546
1081, 393, 18402, 7719, 3705, 547
695, 534, 17361, 7459, 3640, 548
1608, 335, 16698, 7072, 3573, 549
826, 527, 17307, 7537, 3617, 550
1367, 478, 17257, 7538, 3526, 551
1491, 518, 18184, 7556, 3648, 552
1254, 334, 18106, 7474, 3589, 553
1453, 417, 16800, 7094, 3452, 554
910, 408, 17438, 7526, 3653, 555
887, 324, 16466, 7172, 3565, 556
1729, 477, 17377, 7337, 3184, 557
1395, 439, 16951, 7170, 3420, 558
2133, 329, 16745, 6800, 3370, 559
731, 739, 17767, 7471, 3678, 560
1706, 405, 17023, 6942, 3426, 561
1158, 325, 17819, 7541, 3536, 562
516, 780, 16227, 6844, 3323, 563
1424, 368, 16799, 7126, 3348, 564
1167, 331, 17642, 7432, 3480, 565
1628, 388, 17089, 7027, 3409, 566
1566, 741, 15910, 6663, 3223, 567
827, 350, 17866, 7605, 3645, 568
2068, 416, 17288, 7022, 3315, 569
2104, 324, 17390, 7160, 3331, 570
1999, 407, 16915, 7113, 3385, 571
1909, 372, 17515, 7206, 3380, 572
2179, 325, 15975, 6972, 3310, 573
1424, 512, 18398, 7578, 3652, 574
1177, 336, 17793, 7458, 3510, 575
704, 405, 15638, 7183, 3388, 576
914, 327, 16063, 7491, 3627, 577
1239, 436, 18833, 7603, 3579, 578
860, 394, 18002, 7429, 3687, 579
2125, 350, 17372, 6823, 3241, 580
2100, 334, 17051, 6868, 3410, 581
952, 325, 18085, 7661, 3744, 582
2052, 534, 17031, 7081, 3386, 583
1297, 527, 17585, 7531, 3591, 584
1321, 372, 16796, 7120, 3487, 585
1177, 325, 17586, 7683, 3551, 586
632, 436, 14814, 7089, 3388, 587
1661, 336, 16949, 7126, 3436, 588
1178, 391, 17780, 7477, 3499, 589
605, 750, 17178, 7225, 3484, 590
2045, 371, 27599, 7220, 3390, 591
1765, 338, 16421, 7138, 3441, 592
1377, 395, 17152, 7184, 3562, 593
874, 1216, 14415, 6157, 3118, 594
1960, 326, 16319, 7177, 3397, 595
1575, 368, 16963, 6975, 3460, 596
2022, 326, 27769, 7192, 3389, 597
1591, 511, 18074, 7191, 3497, 598
1821, 329, 17154, 6951, 3398, 599
2033, 325, 17381, 7245, 3412, 600
1592, 404, 27728, 7490, 3569, 601
1244, 372, 18199, 7449, 3495, 602
2093, 326, 16650, 6910, 3333, 603
2066, 368, 16727, 6859, 3328, 604
